Site,Timestamp,Status,StateDesc
SPS_A1,2017-04-20 14:54:54,1,RUNNING
SPS_A1,2017-04-20 14:55:18,0,STOPPED
SPS_A1,2017-04-25 20:13:14,1,RUNNING
SPS_A1,2017-04-25 20:18:08,0,STOPPED
SPS_A1,2017-04-25 20:34:00,1,RUNNING
SPS_A1,2017-04-25 20:39:03,0,STOPPED
SPS_A1,2017-05-14 01:00:07,1,RUNNING
SPS_A1,2017-05-14 01:04:35,0,STOPPED
SPS_A1,2017-05-14 04:54:32,1,RUNNING
SPS_A1,2017-05-14 04:58:29,0,STOPPED
SPS_A1,2017-05-14 05:21:39,1,RUNNING
SPS_A1,2017-05-14 05:25:28,0,STOPPED
SPS_A1,2017-05-14 05:43:23,1,RUNNING
SPS_A1,2017-05-14 05:47:36,0,STOPPED
SPS_A1,2017-05-14 06:04:11,1,RUNNING
SPS_A1,2017-05-14 06:08:56,0,STOPPED
SPS_A1,2017-05-14 06:25:25,1,RUNNING
SPS_A1,2017-05-14 06:29:38,0,STOPPED
SPS_A1,2017-05-14 06:46:29,1,RUNNING
SPS_A1,2017-05-14 06:51:07,0,STOPPED
SPS_A1,2017-05-14 07:07:11,1,RUNNING
SPS_A1,2017-05-14 07:12:04,0,STOPPED
SPS_A1,2017-05-14 07:29:26,1,RUNNING
SPS_A1,2017-05-14 07:33:55,0,STOPPED
SPS_A1,2017-05-14 07:51:35,1,RUNNING
SPS_A1,2017-05-14 07:55:47,0,STOPPED
SPS_A1,2017-05-14 08:14:54,1,RUNNING
SPS_A1,2017-05-14 08:19:23,0,STOPPED
SPS_A1,2017-05-14 08:42:28,1,RUNNING
SPS_A1,2017-05-14 08:46:41,0,STOPPED
SPS_A1,2017-05-14 09:14:05,1,RUNNING
SPS_A1,2017-05-14 09:18:18,0,STOPPED
SPS_A1,2017-05-14 09:39:39,1,RUNNING
SPS_A1,2017-05-14 09:43:52,0,STOPPED
SPS_A1,2017-05-14 10:04:26,1,RUNNING
SPS_A1,2017-05-14 10:09:10,0,STOPPED
SPS_A1,2017-05-14 10:28:16,1,RUNNING
SPS_A1,2017-05-14 10:32:44,0,STOPPED
SPS_A1,2017-05-14 10:50:40,1,RUNNING
SPS_A1,2017-05-14 10:55:41,0,STOPPED
SPS_A1,2017-05-14 11:12:56,1,RUNNING
SPS_A1,2017-05-14 11:17:41,0,STOPPED
SPS_A1,2017-05-14 11:35:29,1,RUNNING
SPS_A1,2017-05-14 11:40:06,0,STOPPED
SPS_A1,2017-05-14 15:35:03,1,RUNNING
SPS_A1,2017-05-14 15:39:56,0,STOPPED
SPS_A1,2017-05-14 15:58:48,1,RUNNING
