Site,Timestamp,Status,StateDesc
SPS_A2,2017-05-29 17:01:10,0,STOPPED
SPS_A2,2017-05-29 17:18:03,1,RUNNING
SPS_A2,2017-05-29 17:22:00,0,STOPPED
SPS_A2,2017-05-29 17:39:41,1,RUNNING
SPS_A2,2017-05-29 17:43:46,0,STOPPED
SPS_A2,2017-05-29 18:00:56,1,RUNNING
SPS_A2,2017-05-29 18:04:53,0,STOPPED
SPS_A2,2017-05-29 18:21:24,1,RUNNING
SPS_A2,2017-05-29 18:25:45,0,STOPPED
SPS_A2,2017-05-29 18:42:07,1,RUNNING
SPS_A2,2017-05-29 18:46:20,0,STOPPED
SPS_A2,2017-05-29 19:03:37,1,RUNNING
SPS_A2,2017-05-29 19:07:50,0,STOPPED
SPS_A2,2017-05-29 19:23:24,1,RUNNING
SPS_A2,2017-05-29 19:27:37,0,STOPPED
SPS_A2,2017-05-29 19:44:15,1,RUNNING
SPS_A2,2017-05-29 19:48:35,0,STOPPED
SPS_A2,2017-05-29 20:03:22,1,RUNNING
SPS_A2,2017-05-29 20:07:51,0,STOPPED
SPS_A2,2017-05-29 20:23:42,1,RUNNING
SPS_A2,2017-05-29 20:28:12,0,STOPPED
SPS_A2,2017-05-29 20:43:22,1,RUNNING
SPS_A2,2017-05-29 20:48:07,0,STOPPED
SPS_A2,2017-05-29 21:02:54,1,RUNNING
SPS_A2,2017-05-29 21:07:48,0,STOPPED
SPS_A2,2017-05-29 21:23:06,1,RUNNING
SPS_A2,2017-05-29 21:27:50,0,STOPPED
SPS_A2,2017-05-29 21:42:53,1,RUNNING
SPS_A2,2017-05-29 21:47:54,0,STOPPED
SPS_A2,2017-05-29 22:02:09,1,RUNNING
SPS_A2,2017-05-29 22:07:41,0,STOPPED
SPS_A2,2017-05-29 22:22:11,1,RUNNING
SPS_A2,2017-05-29 22:27:20,0,STOPPED
SPS_A2,2017-05-29 22:41:50,1,RUNNING
SPS_A2,2017-05-29 22:46:58,0,STOPPED
SPS_A2,2017-05-29 23:01:37,1,RUNNING
SPS_A2,2017-05-29 23:07:33,0,STOPPED
SPS_A2,2017-05-29 23:22:21,1,RUNNING
SPS_A2,2017-05-29 23:28:48,0,STOPPED
SPS_A2,2017-06-04 15:36:57,1,RUNNING
SPS_A2,2017-06-04 15:41:27,0,STOPPED
SPS_A2,2017-06-04 15:57:08,1,RUNNING
SPS_A2,2017-06-04 16:01:36,0,STOPPED
SPS_A2,2017-06-05 22:52:43,1,RUNNING
SPS_A2,2017-06-05 22:56:25,0,STOPPED
SPS_A2,2017-06-05 23:13:19,1,RUNNING
SPS_A2,2017-06-05 23:16:44,0,STOPPED
SPS_A2,2017-06-05 23:34:55,1,RUNNING
SPS_A2,2017-06-05 23:38:37,0,STOPPED
SPS_A2,2017-06-05 23:54:21,1,RUNNING
SPS_A2,2017-06-05 23:58:18,0,STOPPED
SPS_A2,2017-06-06 00:13:28,1,RUNNING
SPS_A2,2017-06-06 00:17:33,0,STOPPED
SPS_A2,2017-06-06 00:32:04,1,RUNNING
SPS_A2,2017-06-06 00:36:33,0,STOPPED
SPS_A2,2017-06-06 00:51:02,1,RUNNING
SPS_A2,2017-06-06 00:55:38,0,STOPPED
SPS_A2,2017-06-06 01:10:07,1,RUNNING
SPS_A2,2017-06-06 01:14:51,0,STOPPED
SPS_A2,2017-06-06 01:29:45,1,RUNNING
SPS_A2,2017-06-06 01:34:46,0,STOPPED
SPS_A2,2017-06-06 01:49:07,1,RUNNING
SPS_A2,2017-06-06 01:54:15,0,STOPPED
SPS_A2,2017-06-06 02:09:17,1,RUNNING
SPS_A2,2017-06-06 02:14:26,0,STOPPED
SPS_A2,2017-06-06 02:29:12,1,RUNNING
SPS_A2,2017-06-06 02:34:21,0,STOPPED
SPS_A2,2017-06-06 02:49:22,1,RUNNING
SPS_A2,2017-06-06 02:53:58,0,STOPPED
SPS_A2,2017-06-06 03:09:08,1,RUNNING
SPS_A2,2017-06-06 03:13:53,0,STOPPED
SPS_A2,2017-06-06 03:28:31,1,RUNNING
SPS_A2,2017-06-06 03:33:31,0,STOPPED
SPS_A2,2017-06-06 03:48:56,1,RUNNING
SPS_A2,2017-06-06 03:53:17,0,STOPPED
SPS_A2,2017-06-06 04:10:25,1,RUNNING
SPS_A2,2017-06-06 04:14:38,0,STOPPED
SPS_A2,2017-06-06 04:30:26,1,RUNNING
SPS_A2,2017-06-06 04:35:11,0,STOPPED
SPS_A2,2017-06-06 04:51:40,1,RUNNING
SPS_A2,2017-06-06 04:55:53,0,STOPPED
SPS_A2,2017-06-06 05:13:48,1,RUNNING
SPS_A2,2017-06-06 05:18:18,0,STOPPED
SPS_A2,2017-06-06 05:35:17,1,RUNNING
SPS_A2,2017-06-06 05:39:53,0,STOPPED
SPS_A2,2017-06-06 05:56:37,1,RUNNING
SPS_A2,2017-06-06 06:01:22,0,STOPPED
SPS_A2,2017-06-06 06:17:57,1,RUNNING
SPS_A2,2017-06-06 06:22:26,0,STOPPED
SPS_A2,2017-06-06 06:41:09,1,RUNNING
SPS_A2,2017-06-06 06:45:37,0,STOPPED
SPS_A2,2017-06-06 07:03:48,1,RUNNING
SPS_A2,2017-06-06 07:08:32,0,STOPPED
SPS_A2,2017-06-28 01:18:47,1,RUNNING
SPS_A2,2017-06-28 01:22:44,0,STOPPED
SPS_A2,2017-06-28 01:37:16,1,RUNNING
SPS_A2,2017-06-28 01:42:08,0,STOPPED
SPS_A2,2017-06-28 01:56:32,1,RUNNING
SPS_A2,2017-06-28 02:02:36,0,STOPPED
SPS_A2,2017-06-28 02:18:10,1,RUNNING
SPS_A2,2017-06-28 02:22:07,0,STOPPED
SPS_A2,2017-06-28 04:10:45,1,RUNNING
SPS_A2,2017-06-28 04:14:50,0,STOPPED
SPS_A2,2017-06-28 04:31:19,1,RUNNING
SPS_A2,2017-06-28 04:35:31,0,STOPPED
SPS_A2,2017-06-28 04:51:13,1,RUNNING
SPS_A2,2017-06-28 04:55:34,0,STOPPED
SPS_A2,2017-06-28 05:12:19,1,RUNNING
SPS_A2,2017-06-28 05:16:24,0,STOPPED
SPS_A2,2017-06-28 05:34:28,1,RUNNING
SPS_A2,2017-06-28 05:38:26,0,STOPPED
SPS_A2,2017-06-28 05:55:10,1,RUNNING
SPS_A2,2017-06-28 05:59:08,0,STOPPED
SPS_A2,2017-06-28 06:17:59,1,RUNNING
SPS_A2,2017-06-28 06:21:41,0,STOPPED
SPS_A2,2017-06-28 06:41:28,1,RUNNING
SPS_A2,2017-06-28 06:45:32,0,STOPPED
SPS_A2,2017-06-28 07:03:53,1,RUNNING
SPS_A2,2017-06-28 07:07:51,0,STOPPED
SPS_A2,2017-06-28 07:26:11,1,RUNNING
SPS_A2,2017-06-28 07:30:23,0,STOPPED
SPS_A2,2017-06-28 07:46:36,1,RUNNING
